#,Instruction,"Pipeline schedule, width=2"
1,"addi sp, sp, -48",F1 D2 E1:3 E2:4 WB5
2,"sd ra, 40(sp)",F1 D2 E1:5 M6-8
3,"sd s0, 32(sp)",F3 D5 E1:6 M7-9
4,"addi s0, sp, 48",F3 D5 E1:6 E2:7 WB8
5,"sd a0, -24(s0)",F6 D7 E1:8 M9-11
6,"sw a1, -28(s0)",F6 D7 E1:8 M9-11
7,"ld a0, -24(s0)",F8 D9 E1:10 M11-13 WB14
8,"lw a0, 0(a0)",F8 D9 E1:14 M15-17 WB18
9,"sw a0, -32(s0)",F10 D14 E1:18 M19-21
10,"ld a0, -24(s0)",F10 D14 E1:18 M19-21 WB22
11,"lw a0, 4(a0)",F18 D19 E1:22 M23-25 WB26
12,"sw a0, -36(s0)",F18 D19 E1:26 M27-29
13,"lw a0, -32(s0)",F22 D26 E1:27 M28-30 WB31
14,"lw a1, -36(s0)",F22 D26 E1:27 M28-30 WB31
15,"addw a0, a0, a1",F27 D28 E1:31 E2:32 WB33
16,"lw a1, -28(s0)",F27 D28 E1:31 M32-34 WB35
17,"addw a0, a0, a1",F31 D32 E1:35 E2:36 WB37
18,"sw a0, -40(s0)",F31 D32 E1:37 M38-40
19,"lbu a0, -40(s0)",F35 D37 E1:38 M39-41 WB42
20,"andi a0, a0, 1",F35 D37 E1:42 E2:43 WB44
21,"li a1, 0",F38 D42 E1:43 E2:44 WB45
22,"beq a0, a1, .LBB0_2",F38 D42 E1:45
23,j .LBB0_1,F43 D45 E1:46
24,"ld a0, -24(s0)",F43 D45 E1:46 M47-49 WB50
25,"lw a1, 8(a0)",F46 D47 E1:50 M51-53 WB54
26,"lw a0, -40(s0)",F46 D47 E1:50 M51-53 WB54
27,"addw a0, a0, a1",F50 D51 E1:54 E2:55 WB56
28,"sw a0, -40(s0)",F50 D51 E1:56 M57-59
29,j .LBB0_3,F54 D56 E1:57
30,"lw a0, -40(s0)",F54 D56 E1:57 M58-60 WB61
31,"ld a1, -24(s0)",F57 D58 E1:59 M60-62 WB63
32,"lw a1, 16(a1)",F57 D58 E1:63 M64-66 WB67
33,"addw a0, a0, a1",F59 D63 E1:67 E2:68 WB69
34,"ld ra, 40(sp)",F59 D63 E1:67 M68-70 WB71
35,"ld s0, 32(sp)",F67 D68 E1:69 M70-72 WB73
36,"addi sp, sp, 48",F67 D68 E1:69 E2:70 WB71
37,ret,F69 D70 E1:71
